,000004,000007,000008,000010,000017,000018,000030,000034,000035,000036,000038,000048,000056,000059,000068,000155,000156,000403,000408,000409,000415,000420,000430,000498,000504,000505,000506,000509,000510,000517,000518,000520,000545,000555,000557,000561,000576,000585,000586,000587,000590,000595,000598,000603,000605,000607,000611,000613,000617,000620,000622,000629,000633,000656,000657,000659,000662,000669,000670,000672,000673,000676,000677,000681,000688,000691,000692,000693,000697,000703,000711,000716,000717,000719,000720,000722,000732,000736,000737,000738,000750,000751,000755,000757,000760,000767,000776,000779,000799,000806,000815,000818,000820,000822,000831,000838,000856,000863,000892,000898,000899,000902,000908,000912,000921,000922,000927,000928,000935,000953,000955,000958,000971,000972,000976,000979,000981,000995,001896,002002,002006,002015,002019,002047,002072,002075,002102,002113,002114,002127,002134,002145,002160,002162,002163,002164,002192,002200,002217,002234,002248,002265,002306,002373,002417,002459,002506,002608,002633,600057,600069,600071,600072,600074,600075,600076,600077,600080,600083,600084,600091,600094,600115,600130,600131,600145,600149,600155,600163,600178,600179,600180,600182,600185,600187,600203,600207,600209,600217,600223,600225,600228,600234,600242,600247,600250,600259,600265,600275,600281,600282,600299,600301,600306,600311,600313,600319,600335,600338,600340,600355,600358,600359,600365,600372,600373,600381,600385,600392,600401,600408,600419,600421,600444,600455,600462,600490,600506,600515,600532,600538,600539,600550,600555,600556,600562,600579,600598,600603,600604,600608,600609,600610,600617,600633,600634,600644,600645,600671,600678,600681,600688,600689,600691,600698,600699,600701,600705,600706,600707,600710,600711,600714,600715,600716,600721,600722,600727,600728,600732,600733,600740,600751,600757,600760,600766,600769,600771,600773,600779,600792,600793,600800,600817,600847,600854,600860,600868,600870,600871,600876,600877,600882,600885,600887,600890,600891,600892,600894,600898,600961,600962,600980,600984,600988,601558,601919,600656
2012-12-31,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-04,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-07,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-08,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-09,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-10,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-11,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,*ST,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-14,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-15,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-16,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-17,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-18,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-21,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-22,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-23,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-24,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,ST,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-25,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-28,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-29,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,ST
2013-01-30,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,ST,S,,*ST,*ST,,,ST,,,,,,,,,ST,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,
2013-01-31,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,,,,,,,,,,*ST,,,ST,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,,S,,*ST,*ST,,,ST,,,,,,,,,,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,
2013-02-01,,,ST,SST,*ST,ST,*ST,,*ST,,*ST,,*ST,,ST,*ST,,S*ST,,ST,,*ST,,*ST,ST,ST,,SST,,,,,*ST,ST,*ST,,*ST,*ST,,,,*ST,,,*ST,,,ST,,,S*ST,,ST,,*ST,,*ST,,S*ST,*ST,ST,ST,*ST,*ST,*ST,,,S*ST,,,,,,,*ST,,,,,,,*ST,,*ST,,*ST,,,,*ST,*ST,,*ST,,*ST,*ST,,,*ST,,*ST,,ST,,ST,,,,,ST,ST,ST,ST,*ST,,,,ST,,ST,,,*ST,,ST,,*ST,ST,*ST,,,,,,,,,*ST,,,,,,,,,ST,,,,,,,,,*ST,,,,,ST,,,,,,,*ST,,,,,S,,,,,,,,,,ST,,,*ST,,ST,,,,,,,,,,,*ST,,,,*ST,,,,,*ST,*ST,,,,*ST,,ST,*ST,,,,,,ST,,,*ST,,*ST,,*ST,,ST,,S,ST,,ST,,,ST,*ST,,S,,*ST,*ST,,,ST,,,,,,,,,,,,,S*ST,,SST,,,*ST,ST,ST,,,,ST,,*ST,,,,,ST,S,,*ST,,ST,,,,ST,,,,,,,ST,,,
